year,title,authors,link
2010,Recurrent neural network based language model,Tomas Mikolov et al.,A new recurrent neural network based language model (RNN LM) with applications to speech recognition is presented. Results indicate that it is possible to obtain around 50% reduction of perplexity by using mixture of several RNN LMs  compared to a state of the art backoff language model. Speech recognition experiments show around 18% reduction of word error rate on the Wall Street Journal task when comparing models trained on the same amount of data  and around 5% on the much harder NIST RT05 task  even when the backoff model is trained on much more data than the RNN LM. We provide ample empirical evidence to suggest that connectionist language models are superior to standard n-gram techniques  except their high computational (training) complexity.
2013,Distributed Representations of Words and Phrases and their Compositionality,Tomas Mikolov et al.,https://arxiv.org/abs/1310.4546
2014,Sequence to Sequence Learning with Neural Networks,Ilya Sutskever et al.,https://arxiv.org/abs/1409.3215
2014,Neural Word Embedding as Implicit Matrix Factorization,Omer Levy and Yoav Goldberg,https://papers.nips.cc/paper_files/paper/2014/hash/b78666971ceae55a8e87efb7cbfd9ad4-Abstract.html
2014,Generating Sequences With Recurrent Neural Networks,Alex Graves,https://arxiv.org/pdf/1308.0850.pdf
2015,Neural Machine Translation of Rare Words with Subword Units,Rico Sennrich et al.,https://arxiv.org/abs/1508.07909
2016,A Structured Self-attentive Sentence Embedding,Zhouhan Lin et al.,https://arxiv.org/abs/1703.03130
2016,Google's Neural Machine Translation System: Bridging the Gap between Human and Machine Translation,Yonghui Wu et al.,https://arxiv.org/abs/1609.08144v2
2017,Attention Is All You Need,Ashish Vaswani et al.,https://arxiv.org/abs/1706.03762
2018,BERT: Pre-training of Deep Bidirectional Transformers for Language Understanding,Jacob Devlin et al.,https://arxiv.org/abs/1810.04805v2
2018,Universal Language Model Fine-tuning for Text Classification,Jeremy Howard and Sebastian Ruder,https://arxiv.org/abs/1801.06146
2020,Language Models are Few-Shot Learners,Tom B. Brown et al.,https://arxiv.org/abs/2005.14165
2021,LoRA: Low-Rank Adaptation of Large Language Models,Edward J. Hu et al.,https://arxiv.org/abs/2106.09685
2022,LaMBDA: Language Models for Dialog Applications,Romal Thoppilan et al.,https://arxiv.org/abs/2201.08239
2022,Chain-of-Thought Prompting Elicits Reasoning in Large Language Models,Jason Wei et al.,https://arxiv.org/abs/2201.11903
2022,Competition-Level Code Generation with AlphaCode,Li Yujia et al.,https://arxiv.org/abs/2203.07814
2022,Finetuned Language Models Are Zero-Shot Learners,Jason Wei et al.,https://arxiv.org/abs/2109.01652
2022,Training language models to follow human instructions with human feedback,Long Ouyang et al.,https://arxiv.org/abs/2203.02155
2022,Multitask Prompted Training Enables Zero-Shot Task Generalization,Victor Sanh et al.,https://arxiv.org/abs/2110.08207
2022,Training Compute-Optimal Large Language Models,Jordan Hoffmann et al.,https://arxiv.org/abs/2203.15556
2022,"Do As I Can, Not As I Say: Grounding Language in Robotic Affordances",Michael Ahn et al.,https://arxiv.org/abs/2204.01691
2022,GPT-NeoX-20B: An Open-Source Autoregressive Language Model,Sid Black et al.,https://arxiv.org/abs/2204.06745
2022,PaLM: Scaling Language Modeling with Pathways,Aakanksha Chowdhery et al.,https://arxiv.org/abs/2204.02311
2022,Beyond the Imitation Game: Quantifying and extrapolating the capabilities of language models,Srivastava et al.,https://arxiv.org/abs/2206.04615
