year,title,authors,link
1991,Face Recognition Using Eigenfaces,Matthew Turk and Alex Pentland,https://ieeexplore.ieee.org/document/139758
1998,GradientBased Learning Applied to Document Recognition,Yann LeCun et al.,https://ieeexplore.ieee.org/document/726791
2012,ImageNet Classification with Deep Convolutional Neural Networks,Alex Krizhevsky et al.,https://papers.nips.cc/paper_files/paper/2012/hash/c399862d3b9d6b76c8436e924a68c45b-Abstract.html
2013,"OverFeat: Integrated recognition, localization and detection using convolutional networks",P. Sermanet et al.,http://arxiv.org/pdf/1312.6229
2013,Maxout networks,I. Goodfellow et al.,http://arxiv.org/pdf/1302.4389v4
2013,Network in network,M. Lin et al.,http://arxiv.org/pdf/1312.4400
2013,Learning hierarchical features for scene labeling,C. Farabet et al.,https://ieeexplore.ieee.org/document/6338939
2013,3D convolutional neural networks for human action recognition,S. Ji et al.,https://ieeexplore.ieee.org/document/6165309
2014,Very Deep Convolutional Networks for Large-Scale Image Recognition,Karen Simonyan and Andrew Zisserman,https://arxiv.org/abs/1409.1556
2014,Understanding Deep Image Representations by Inverting Them,Aravindh Mahendran and Andrea Vedaldi,https://arxiv.org/abs/1412.0035
2014,CNN features off-the-Shelf: An astounding baseline for recognition,A. Razavian et al.,https://arxiv.org/abs/1403.6382
2014,Learning and transferring mid-Level image representations using convolutional neural networks,M. Oquab et al.,https://ieeexplore.ieee.org/document/6909618
2014,Visualizing and understanding convolutional networks,M. Zeiler and R. Fergus,http://arxiv.org/pdf/1311.2901
2014,Decaf: A deep convolutional activation feature for generic visual recognition,J. Donahue et al.,http://arxiv.org/pdf/1310.1531
2014,Return of the devil in the details: delving deep into convolutional nets,K. Chatfield et al.,http://arxiv.org/pdf/1405.3531
2014,Rich feature hierarchies for accurate object detection and semantic segmentation,R. Girshick et al.,https://arxiv.org/abs/1311.2524
2014,Spatial pyramid pooling in deep convolutional networks for visual recognition,K. He et al.,http://arxiv.org/pdf/1406.4729
2014,Semantic image segmentation with deep convolutional nets and fully connected CRFs,L. Chen et al.,https://arxiv.org/pdf/1412.7062
2014,DeepFace: Closing the gap to human-level performance in face verification,Y. Taigman et al.,https://ieeexplore.ieee.org/document/6909616
2014,Large-scale video classification with convolutional neural networks,A. Karpathy et al.,https://ieeexplore.ieee.org/document/6909619
2014,Two-stream convolutional networks for action recognition in videos,K. Simonyan et al.,https://arxiv.org/abs/1406.2199
