year,title,authors,link,category,summary,concat
2021,highly accurate protein structure prediction with alphafold,john jumper et al,https://www.nature.com/articles/s41586-021-03819-2,dl_misc,proteins are essential to life and understanding their structure can facilitate a mechanistic understanding of their function through an enormous experimental effort12 34 the structures of around 100000 unique proteins have been determined5 but this represents a small fraction of the billions of known protein sequences67 structural coverage is bottlenecked by the months to years of painstaking effort required to determine a single protein structure accurate computational approaches are needed to address this gap and to enable large scale structural bioinformatics predicting the three dimensional structure that a protein will adopt based solely on its amino acid sequence the structure prediction component of the protein folding problem 8 has been an important open research problem for more than 50 years9 despite recent progress1011121314 existing methods fall far short of atomic accuracy especially when no homologous structure is available here we provide the first computational method that can regularly predict protein structures with atomic accuracy even in cases in which no similar structure is known we validated an entirely redesigned version of our neural network based model alphafold in the challenging 14th critical assessment of protein structure prediction casp14 15 demonstrating accuracy competitive with experimental structures in a majority of cases and greatly outperforming other methods underpinning the latest version of alphafold is a novel machine learning approach that incorporates physical and biological knowledge about protein structure leveraging multi sequence alignments into the design of the deep learning algorithm,highly accurate protein structure prediction with alphafold john jumper et al proteins are essential to life and understanding their structure can facilitate a mechanistic understanding of their function through an enormous experimental effort12 34 the structures of around 100000 unique proteins have been determined5 but this represents a small fraction of the billions of known protein sequences67 structural coverage is bottlenecked by the months to years of painstaking effort required to determine a single protein structure accurate computational approaches are needed to address this gap and to enable large scale structural bioinformatics predicting the three dimensional structure that a protein will adopt based solely on its amino acid sequence the structure prediction component of the protein folding problem 8 has been an important open research problem for more than 50 years9 despite recent progress1011121314 existing methods fall far short of atomic accuracy especially when no homologous structure is available here we provide the first computational method that can regularly predict protein structures with atomic accuracy even in cases in which no similar structure is known we validated an entirely redesigned version of our neural network based model alphafold in the challenging 14th critical assessment of protein structure prediction casp14 15 demonstrating accuracy competitive with experimental structures in a majority of cases and greatly outperforming other methods underpinning the latest version of alphafold is a novel machine learning approach that incorporates physical and biological knowledge about protein structure leveraging multi sequence alignments into the design of the deep learning algorithm
1986,learning representations by back propagating errors,david rumelhart et al,https://www.nature.com/articles/323533a0,dl_general,we describe a new learning procedure back propagation for networks of neurone like units the procedure repeatedly adjusts the weights of the connections in the network so as to minimize a measure of the difference between the actual output vector of the net and the desired output vector as a result of the weight adjustments internal hidden units which are not part of the input or output come to represent important features of the task domain and the regularities in the task are captured by the interactions of these units the ability to create useful new features distinguishes back propagation from earlier simpler methods such as the perceptron convergence procedure1,learning representations by back propagating errors david rumelhart et al we describe a new learning procedure back propagation for networks of neurone like units the procedure repeatedly adjusts the weights of the connections in the network so as to minimize a measure of the difference between the actual output vector of the net and the desired output vector as a result of the weight adjustments internal hidden units which are not part of the input or output come to represent important features of the task domain and the regularities in the task are captured by the interactions of these units the ability to create useful new features distinguishes back propagation from earlier simpler methods such as the perceptron convergence procedure1
2023,mathematical discoveries from program search with large language models funsearch,bernardino romera paredes et al,https://www.nature.com/articles/s41586-023-06924-6,dl_nlp,large language models llms have demonstrated tremendous capabilities in solving complex tasks from quantitative reasoning to understanding natural language however llms sometimes suffer from confabulations or hallucinations which can result in them making plausible but incorrect statements12 this hinders the use of current large models in scientific discovery here we introduce funsearch short for searching in the function space an evolutionary procedure based on pairing a pretrained llm with a systematic evaluator we demonstrate the effectiveness of this approach to surpass the best known results in important problems pushing the boundary of existing llm based approaches3 applying funsearch to a central problem in extremal combinatorics the cap set problem we discover new constructions of large cap sets going beyond the best known ones both in finite dimensional and asymptotic cases this shows that it is possible to make discoveries for established open problems using llms we showcase the generality of funsearch by applying it to an algorithmic problem online bin packing finding new heuristics that improve on widely used baselines in contrast to most computer search approaches funsearch searches for programs that describe how to solve a problem rather than what the solution is beyond being an effective and scalable strategy discovered programs tend to be more interpretable than raw solutions enabling feedback loops between domain experts and funsearch and the deployment of such programs in real world applications,mathematical discoveries from program search with large language models funsearch bernardino romera paredes et al large language models llms have demonstrated tremendous capabilities in solving complex tasks from quantitative reasoning to understanding natural language however llms sometimes suffer from confabulations or hallucinations which can result in them making plausible but incorrect statements12 this hinders the use of current large models in scientific discovery here we introduce funsearch short for searching in the function space an evolutionary procedure based on pairing a pretrained llm with a systematic evaluator we demonstrate the effectiveness of this approach to surpass the best known results in important problems pushing the boundary of existing llm based approaches3 applying funsearch to a central problem in extremal combinatorics the cap set problem we discover new constructions of large cap sets going beyond the best known ones both in finite dimensional and asymptotic cases this shows that it is possible to make discoveries for established open problems using llms we showcase the generality of funsearch by applying it to an algorithmic problem online bin packing finding new heuristics that improve on widely used baselines in contrast to most computer search approaches funsearch searches for programs that describe how to solve a problem rather than what the solution is beyond being an effective and scalable strategy discovered programs tend to be more interpretable than raw solutions enabling feedback loops between domain experts and funsearch and the deployment of such programs in real world applications
2015,human level control through deep reinforcement learning,volodymyr mnih et al,https://www.nature.com/articles/nature14236,dl_rl,the theory of reinforcement learning provides a normative account1 deeply rooted in psychological2 and neuroscientific3 perspectives on animal behaviour of how agents may optimize their control of an environment to use reinforcement learning successfully in situations approaching real world complexity however agents are confronted with a difficult task they must derive efficient representations of the environment from high dimensional sensory inputs and use these to generalize past experience to new situations remarkably humans and other animals seem to solve this problem through a harmonious combination of reinforcement learning and hierarchical sensory processing systems45 the former evidenced by a wealth of neural data revealing notable parallels between the phasic signals emitted by dopaminergic neurons and temporal difference reinforcement learning algorithms3 while reinforcement learning agents have achieved some successes in a variety of domains67 8 their applicability has previously been limited to domains in which useful features can be handcrafted or to domains with fully observed low dimensional state spaces here we use recent advances in training deep neural networks91011 to develop a novel artificial agent termed a deep q network that can learn successful policies directly from high dimensional sensory inputs using end to end reinforcement learning we tested this agent on the challenging domain of classic atari 2600 games12 we demonstrate that the deep q network agent receiving only the pixels and the game score as inputs was able to surpass the performance of all previous algorithms and achieve a level comparable to that of a professional human games tester across a set of 49 games using the same algorithm network architecture and hyperparameters this work bridges the divide between high dimensional sensory inputs and actions resulting in the first artificial agent that is capable of learning to excel at a diverse array of challenging tasks,human level control through deep reinforcement learning volodymyr mnih et al the theory of reinforcement learning provides a normative account1 deeply rooted in psychological2 and neuroscientific3 perspectives on animal behaviour of how agents may optimize their control of an environment to use reinforcement learning successfully in situations approaching real world complexity however agents are confronted with a difficult task they must derive efficient representations of the environment from high dimensional sensory inputs and use these to generalize past experience to new situations remarkably humans and other animals seem to solve this problem through a harmonious combination of reinforcement learning and hierarchical sensory processing systems45 the former evidenced by a wealth of neural data revealing notable parallels between the phasic signals emitted by dopaminergic neurons and temporal difference reinforcement learning algorithms3 while reinforcement learning agents have achieved some successes in a variety of domains67 8 their applicability has previously been limited to domains in which useful features can be handcrafted or to domains with fully observed low dimensional state spaces here we use recent advances in training deep neural networks91011 to develop a novel artificial agent termed a deep q network that can learn successful policies directly from high dimensional sensory inputs using end to end reinforcement learning we tested this agent on the challenging domain of classic atari 2600 games12 we demonstrate that the deep q network agent receiving only the pixels and the game score as inputs was able to surpass the performance of all previous algorithms and achieve a level comparable to that of a professional human games tester across a set of 49 games using the same algorithm network architecture and hyperparameters this work bridges the divide between high dimensional sensory inputs and actions resulting in the first artificial agent that is capable of learning to excel at a diverse array of challenging tasks
2022,outracing champion gran turismo drivers with deep reinforcement learning sophy,pete wurman et al,https://www.nature.com/articles/s41586-021-04357-7,dl_rl,many potential applications of artificial intelligence involve making real time decisions in physical systems while interacting with humans automobile racing represents an extreme example of these conditions drivers must execute complex tactical manoeuvres to pass or block opponents while operating their vehicles at their traction limits1 racing simulations such as the playstation game gran turismo faithfully reproduce the non linear control challenges of real race cars while also encapsulating the complex multi agent interactions here we describe how we trained agents for gran turismo that can compete with the world s best e sports drivers we combine state of the art model free deep reinforcement learning algorithms with mixed scenario training to learn an integrated control policy that combines exceptional speed with impressive tactics in addition we construct a reward function that enables the agent to be competitive while adhering to racing s important but under specified sportsmanship rules we demonstrate the capabilities of our agent gran turismo sophy by winning a head to head competition against four of the world s best gran turismo drivers by describing how we trained championship level racers we demonstrate the possibilities and challenges of using these techniques to control complex dynamical systems in domains where agents must respect imprecisely defined human norms,outracing champion gran turismo drivers with deep reinforcement learning sophy pete wurman et al many potential applications of artificial intelligence involve making real time decisions in physical systems while interacting with humans automobile racing represents an extreme example of these conditions drivers must execute complex tactical manoeuvres to pass or block opponents while operating their vehicles at their traction limits1 racing simulations such as the playstation game gran turismo faithfully reproduce the non linear control challenges of real race cars while also encapsulating the complex multi agent interactions here we describe how we trained agents for gran turismo that can compete with the world s best e sports drivers we combine state of the art model free deep reinforcement learning algorithms with mixed scenario training to learn an integrated control policy that combines exceptional speed with impressive tactics in addition we construct a reward function that enables the agent to be competitive while adhering to racing s important but under specified sportsmanship rules we demonstrate the capabilities of our agent gran turismo sophy by winning a head to head competition against four of the world s best gran turismo drivers by describing how we trained championship level racers we demonstrate the possibilities and challenges of using these techniques to control complex dynamical systems in domains where agents must respect imprecisely defined human norms
2022,magnetic control of tokamak plasmas through deep reinforcement learning,jonas degrave et al,https://www.nature.com/articles/s41586-021-04301-9,dl_rl,nuclear fusion using magnetic confinement in particular in the tokamak configuration is a promising path towards sustainable energy a core challenge is to shape and maintain a high temperature plasma within the tokamak vessel this requires high dimensional high frequency closed loop control using magnetic actuator coils further complicated by the diverse requirements across a wide range of plasma configurations in this work we introduce a previously undescribed architecture for tokamak magnetic controller design that autonomously learns to command the full set of control coils this architecture meets control objectives specified at a high level at the same time satisfying physical and operational constraints this approach has unprecedented flexibility and generality in problem specification and yields a notable reduction in design effort to produce new plasma configurations we successfully produce and control a diverse set of plasma configurations on the tokamak à configuration variable12 including elongated conventional shapes as well as advanced configurations such as negative triangularity and snowflake configurations our approach achieves accurate tracking of the location current and shape for these configurations we also demonstrate sustained droplets on tcv in which two separate plasmas are maintained simultaneously within the vessel this represents a notable advance for tokamak feedback control showing the potential of reinforcement learning to accelerate research in the fusion domain and is one of the most challenging real world systems to which reinforcement learning has been applied,magnetic control of tokamak plasmas through deep reinforcement learning jonas degrave et al nuclear fusion using magnetic confinement in particular in the tokamak configuration is a promising path towards sustainable energy a core challenge is to shape and maintain a high temperature plasma within the tokamak vessel this requires high dimensional high frequency closed loop control using magnetic actuator coils further complicated by the diverse requirements across a wide range of plasma configurations in this work we introduce a previously undescribed architecture for tokamak magnetic controller design that autonomously learns to command the full set of control coils this architecture meets control objectives specified at a high level at the same time satisfying physical and operational constraints this approach has unprecedented flexibility and generality in problem specification and yields a notable reduction in design effort to produce new plasma configurations we successfully produce and control a diverse set of plasma configurations on the tokamak à configuration variable12 including elongated conventional shapes as well as advanced configurations such as negative triangularity and snowflake configurations our approach achieves accurate tracking of the location current and shape for these configurations we also demonstrate sustained droplets on tcv in which two separate plasmas are maintained simultaneously within the vessel this represents a notable advance for tokamak feedback control showing the potential of reinforcement learning to accelerate research in the fusion domain and is one of the most challenging real world systems to which reinforcement learning has been applied
2022,discovering faster matrix multiplication algorithms with reinforcement learning alphatensor,alhussein fawzi et al,https://www.nature.com/articles/s41586-022-05172-4,dl_rl,improving the efficiency of algorithms for fundamental computations can have a widespread impact as it can affect the overall speed of a large amount of computations matrix multiplication is one such primitive task occurring in many systems from neural networks to scientific computing routines the automatic discovery of algorithms using machine learning offers the prospect of reaching beyond human intuition and outperforming the current best human designed algorithms however automating the algorithm discovery procedure is intricate as the space of possible algorithms is enormous here we report a deep reinforcement learning approach based on alphazero1 for discovering efficient and provably correct algorithms for the multiplication of arbitrary matrices our agent alphatensor is trained to play a single player game where the objective is finding tensor decompositions within a finite factor space alphatensor discovered algorithms that outperform the state of the art complexity for many matrix sizes particularly relevant is the case of 4 4 matrices in a finite field where alphatensor s algorithm improves on strassen s two level algorithm for the first time to our knowledge since its discovery 50 years ago2 we further showcase the flexibility of alphatensor through different use cases algorithms with state of the art complexity for structured matrix multiplication and improved practical efficiency by optimizing matrix multiplication for runtime on specific hardware our results highlight alphatensor s ability to accelerate the process of algorithmic discovery on a range of problems and to optimize for different criteria,discovering faster matrix multiplication algorithms with reinforcement learning alphatensor alhussein fawzi et al improving the efficiency of algorithms for fundamental computations can have a widespread impact as it can affect the overall speed of a large amount of computations matrix multiplication is one such primitive task occurring in many systems from neural networks to scientific computing routines the automatic discovery of algorithms using machine learning offers the prospect of reaching beyond human intuition and outperforming the current best human designed algorithms however automating the algorithm discovery procedure is intricate as the space of possible algorithms is enormous here we report a deep reinforcement learning approach based on alphazero1 for discovering efficient and provably correct algorithms for the multiplication of arbitrary matrices our agent alphatensor is trained to play a single player game where the objective is finding tensor decompositions within a finite factor space alphatensor discovered algorithms that outperform the state of the art complexity for many matrix sizes particularly relevant is the case of 4 4 matrices in a finite field where alphatensor s algorithm improves on strassen s two level algorithm for the first time to our knowledge since its discovery 50 years ago2 we further showcase the flexibility of alphatensor through different use cases algorithms with state of the art complexity for structured matrix multiplication and improved practical efficiency by optimizing matrix multiplication for runtime on specific hardware our results highlight alphatensor s ability to accelerate the process of algorithmic discovery on a range of problems and to optimize for different criteria
2023,faster sorting algorithms discovered using deep reinforcement learning alphadev,daniel j mankowitz et al,https://www.nature.com/articles/s41586-023-06004-9,dl_rl,fundamental algorithms such as sorting or hashing are used trillions of times on any given day1 as demand for computation grows it has become critical for these algorithms to be as performant as possible whereas remarkable progress has been achieved in the past2 making further improvements on the efficiency of these routines has proved challenging for both human scientists and computational approaches here we show how artificial intelligence can go beyond the current state of the art by discovering hitherto unknown routines to realize this we formulated the task of finding a better sorting routine as a single player game we then trained a new deep reinforcement learning agent alphadev to play this game alphadev discovered small sorting algorithms from scratch that outperformed previously known human benchmarks these algorithms have been integrated into the llvm standard c sort library3 this change to this part of the sort library represents the replacement of a component with an algorithm that has been automatically discovered using reinforcement learning we also present results in extra domains showcasing the generality of the approach,faster sorting algorithms discovered using deep reinforcement learning alphadev daniel j mankowitz et al fundamental algorithms such as sorting or hashing are used trillions of times on any given day1 as demand for computation grows it has become critical for these algorithms to be as performant as possible whereas remarkable progress has been achieved in the past2 making further improvements on the efficiency of these routines has proved challenging for both human scientists and computational approaches here we show how artificial intelligence can go beyond the current state of the art by discovering hitherto unknown routines to realize this we formulated the task of finding a better sorting routine as a single player game we then trained a new deep reinforcement learning agent alphadev to play this game alphadev discovered small sorting algorithms from scratch that outperformed previously known human benchmarks these algorithms have been integrated into the llvm standard c sort library3 this change to this part of the sort library represents the replacement of a component with an algorithm that has been automatically discovered using reinforcement learning we also present results in extra domains showcasing the generality of the approach
2012,deep neural networks for acoustic modeling in speech recognition the shared views of four research groups,g hinton et al,https://ieeexplore.ieee.org/document/6296526,audio,most current speech recognition systems use hidden markov models hmms to deal with the temporal variability of speech and gaussian mixture models gmms to determine how well each state of each hmm fits a frame or a short window of frames of coefficients that represents the acoustic input an alternative way to evaluate the fit is to use a feed forward neural network that takes several frames of coefficients as input and produces posterior probabilities over hmm states as output deep neural networks dnns that have many hidden layers and are trained using new methods have been shown to outperform gmms on a variety of speech recognition benchmarks sometimes by a large margin this article provides an overview of this progress and represents the shared views of four research groups that have had recent successes in using dnns for acoustic modeling in speech recognition,deep neural networks for acoustic modeling in speech recognition the shared views of four research groups g hinton et al most current speech recognition systems use hidden markov models hmms to deal with the temporal variability of speech and gaussian mixture models gmms to determine how well each state of each hmm fits a frame or a short window of frames of coefficients that represents the acoustic input an alternative way to evaluate the fit is to use a feed forward neural network that takes several frames of coefficients as input and produces posterior probabilities over hmm states as output deep neural networks dnns that have many hidden layers and are trained using new methods have been shown to outperform gmms on a variety of speech recognition benchmarks sometimes by a large margin this article provides an overview of this progress and represents the shared views of four research groups that have had recent successes in using dnns for acoustic modeling in speech recognition
2012,context dependent pre trained deep neural networks for large vocabulary speech recognition,g dahl et al,https://ieeexplore.ieee.org/document/5740583,audio,we propose a novel context dependent cd model for large vocabulary speech recognition lvsr that leverages recent advances in using deep belief networks for phone recognition we describe a pre trained deep neural network hidden markov model dnn hmm hybrid architecture that trains the dnn to produce a distribution over senones tied triphone states as its output the deep belief network pre training algorithm is a robust and often helpful way to initialize deep neural networks generatively that can aid in optimization and reduce generalization error we illustrate the key components of our model describe the procedure for applying cd dnn hmms to lvsr and analyze the effects of various modeling choices on performance experiments on a challenging business search dataset demonstrate that cd dnn hmms can significantly outperform the conventional context dependent gaussian mixture model gmm hmms with an absolute sentence accuracy improvement of 5 8 and 9 2 or relative error reduction of 16 0 and 23 2 over the cd gmm hmms trained using the minimum phone error rate mpe and maximum likelihood ml criteria respectively,context dependent pre trained deep neural networks for large vocabulary speech recognition g dahl et al we propose a novel context dependent cd model for large vocabulary speech recognition lvsr that leverages recent advances in using deep belief networks for phone recognition we describe a pre trained deep neural network hidden markov model dnn hmm hybrid architecture that trains the dnn to produce a distribution over senones tied triphone states as its output the deep belief network pre training algorithm is a robust and often helpful way to initialize deep neural networks generatively that can aid in optimization and reduce generalization error we illustrate the key components of our model describe the procedure for applying cd dnn hmms to lvsr and analyze the effects of various modeling choices on performance experiments on a challenging business search dataset demonstrate that cd dnn hmms can significantly outperform the conventional context dependent gaussian mixture model gmm hmms with an absolute sentence accuracy improvement of 5 8 and 9 2 or relative error reduction of 16 0 and 23 2 over the cd gmm hmms trained using the minimum phone error rate mpe and maximum likelihood ml criteria respectively
